

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   186.00000 -0.434547E+02  0.276388E+02 -0.442497E+02  0.276388E+02 -0.187825E+02   -110.496    -93.052   -189.042     186
   187.00000 -0.436907E+02  0.276452E+02 -0.444857E+02  0.276452E+02 -0.187937E+02    -95.514    -87.170   -189.466     187
   188.00000 -0.443338E+02  0.276753E+02 -0.451288E+02  0.276753E+02 -0.188048E+02    -79.833    -76.186   -189.885     188
   189.00000 -0.440850E+02  0.276994E+02 -0.448801E+02  0.276994E+02 -0.188158E+02   -113.497    -92.399   -190.300     189
   190.00000 -0.450668E+02  0.277094E+02 -0.458618E+02  0.277094E+02 -0.188267E+02    -72.010    -70.662   -190.712     190
   191.00000 -0.449996E+02  0.277409E+02 -0.457946E+02  0.277409E+02 -0.188375E+02    -99.130    -82.396   -191.129     191
   192.00000 -0.447305E+02  0.277928E+02 -0.455255E+02  0.277927E+02 -0.188482E+02   -121.098    -94.727   -191.561     192
   193.00000 -0.444838E+02  0.278485E+02 -0.452788E+02  0.278484E+02 -0.188588E+02   -133.452   -102.644   -192.073     193
   194.00000 -0.447285E+02  0.278707E+02 -0.455235E+02  0.278706E+02 -0.188693E+02   -104.720    -93.862   -192.596     194
   195.00000 -0.448328E+02  0.279582E+02 -0.456278E+02  0.279581E+02 -0.188798E+02   -110.997    -96.292   -193.100     195
   196.00000 -0.445428E+02  0.280546E+02 -0.453378E+02  0.280545E+02 -0.188903E+02   -146.859   -109.185   -193.597     196
   197.00000 -0.442841E+02  0.281503E+02 -0.450791E+02  0.281502E+02 -0.189006E+02   -165.167   -120.334   -194.091     197
   198.00000 -0.440398E+02  0.282500E+02 -0.448348E+02  0.282500E+02 -0.189110E+02   -182.115   -127.571   -194.583     198
   199.00000 -0.438335E+02  0.283425E+02 -0.446285E+02  0.283425E+02 -0.189213E+02   -193.143   -134.636   -195.074     199
   200.00000 -0.440165E+02  0.283906E+02 -0.448115E+02  0.283906E+02 -0.189315E+02   -140.615   -124.823   -195.565     200
   201.00000 -0.439250E+02  0.284580E+02 -0.447200E+02  0.284580E+02 -0.189417E+02   -163.647   -128.602   -196.055     201
   202.00000 -0.437026E+02  0.286323E+02 -0.444976E+02  0.286323E+02 -0.189519E+02   -202.405   -139.538   -196.546     202
   203.00000 -0.439826E+02  0.287327E+02 -0.447776E+02  0.287327E+02 -0.189620E+02   -139.368   -130.063   -197.038     203
   204.00000 -0.439325E+02  0.288273E+02 -0.447275E+02  0.288273E+02 -0.189720E+02   -166.606   -133.679   -197.528     204
   205.00000 -0.439921E+02  0.289356E+02 -0.447871E+02  0.289355E+02 -0.189820E+02   -159.045   -134.053   -198.017     205
   206.00000 -0.439311E+02  0.290183E+02 -0.447261E+02  0.290182E+02 -0.189920E+02   -177.395   -138.126   -198.503     206
